File,inbound x velocity ,inbound y velocity,inbound velocity,outbound x velocity,outbound y velocity,outbound velocity,contact time,deformation
WC_0.6_1,10.69008569,3.366792387,11.2077305,9.090325637,2.314326134,9.380305199,0.0098,0.195346826
WC_0.6_2,14.20066271,3.851520514,14.71370218,10.08754573,2.286351854,10.3434029,0.0082,0.203372629
WC_0.6_3,10.84389359,2.726092402,11.18130618,9.476204003,1.723256316,9.631617447,0.0098,0.190013969
WC_0.6_4,14.96934691,4.061805069,15.51062885,14.03530226,1.862029674,14.158279,0.0095,0.198372712
WC_0.6_5,8.73719879,2.310026151,9.037414648,8.143270603,1.580113333,8.295156072,0.0113,0.18788309
WC_0.6_6,10.48579417,3.498771885,11.05410711,8.719626088,1.972103145,8.939858496,0.0083,0.194787566
WC_0.6_7,13.71096264,4.791678414,14.52414124,10.84556076,2.382433773,11.10415142,0.0086,0.184848871
WC_0.6_8,13.00641904,3.837748316,13.56079822,10.06408392,2.444989093,10.35682175,0.0095,0.179983315
WC_0.6_9,13.09939462,4.128948067,13.73471337,10.19818803,1.922357996,10.37778875,0.0098,0.182991329
WC_0.6_10,15.11177351,3.777906947,15.57685076,9.464267824,1.451792695,9.574970887,0.0093,0.183295404
WC_0.6_11,14.05394945,3.231718459,14.42073158,10.64714363,2.251024386,10.88249871,0.0097,0.183210543
WC_0.6_12,20.69447024,2.834776454,20.88772501,13.42004768,2.155657536,13.59207633,0.0087,0.176157845
WC_0.6_13,21.95211979,2.767815363,22.12592066,19.28680901,2.276743181,19.42072504,0.0088,0.17888279
WC_0.6_14,16.27975891,3.836050536,16.72560414,13.28263611,2.568492257,13.52869449,0.0095,0.172905099
WC_0.6_15,15.98543032,3.924859523,16.46020974,14.08491728,2.553953001,14.31459293,0.0092,0.165498604
WC_0.6_16,18.38369573,5.331271266,19.14112646,13.14438964,2.888913272,13.45811275,0.0076,0.189279021
WC_0.6_17,16.55499142,4.845714334,17.24959966,12.88127831,2.668068398,13.15469193,0.0084,0.177409432
WC_0.6_18,16.83895679,4.161306639,17.34551639,13.81198039,2.265638961,13.99656823,0.0093,0.16364347
WC_0.6_19,20.53183276,2.771810727,20.71808609,14.03585742,2.153597247,14.2001153,0.0093,0.161254591
WC_0.6_20,18.39482601,3.135835088,18.66020058,16.53979178,4.146335058,17.05159249,0.0084,0.173454276
WC_0.6_21,20.60306438,4.184973048,21.02380225,14.83837186,3.470899396,15.23891145,0.0075,0.043687011
WC_0.8_1,11.41799351,2.450721659,11.67803975,9.02813065,1.833515401,9.212432999,0.0091,0.188256582
WC_0.8_2,10.60836517,2.42339668,10.88164799,8.884972177,1.510487972,9.012452746,0.0091,0.189785174
WC_0.8_3,11.13555069,2.444510798,11.40070709,9.926335894,2.195774396,10.16629576,0.0095,0.187380342
WC_0.8_4,10.44239054,2.95220337,10.85168304,8.58804215,1.745488028,8.763629181,0.0111,0.18048528
WC_0.8_5,10.89186182,2.137733981,11.09966489,8.73982191,2.269080807,9.029574449,0.0089,0.193331917
WC_0.8_6,14.38539451,2.245620746,14.55961496,11.02707183,2.56193428,11.32076942,0.0093,0.177886782
WC_0.8_7,13.52704375,2.732818837,13.80033375,9.957884696,1.1303947,10.02183914,0.0089,0.185794506
WC_0.8_8,14.25344269,1.626806401,14.34597949,11.02424349,1.503360595,11.12627689,0.0085,0.186364523
WC_0.8_9,14.36175193,3.152690416,14.70371978,11.64646374,1.490326975,11.74143058,0.0088,0.182511676
WC_0.8_10,14.0221473,3.579986463,14.47193553,11.02912985,1.386097433,11.11588823,0.0089,0.181867134
WC_0.8_11,18.79974867,3.228245885,19.07490816,13.83300315,2.122706427,13.99492261,0.0087,0.169328378
WC_0.8_12,18.30744929,3.507692797,18.64045623,13.9657284,2.304942453,14.15465751,0.0081,0.178934121
WC_0.8_13,17.02202284,2.54933577,17.21186726,13.69803761,2.142695692,13.86460887,0.0071,0.185394275
WC_0.8_14,17.12708574,3.749207305,17.53264445,13.54337667,1.964980238,13.68518173,0.0081,0.176795517
WC_0.8_15,18.23198625,3.19870923,18.51045822,14.26974408,2.283408373,14.45128195,0.007,0.183553245
WC_0.8_16,20.93998004,4.441377841,21.40580765,14.46669352,3.930293536,14.9910783,0.0082,0.169360386
WC_0.8_17,21.92074756,3.945650516,22.27301802,15.80468625,1.965841282,15.92647605,0.0078,0.170357778
WC_0.8_18,19.97308831,4.109409263,20.39145657,16.03897483,3.404811564,16.39638544,0.0075,0.173586171
WC_0.8_19,19.47307084,2.273752302,19.60536757,16.38171424,1.752848649,16.47522503,0.0078,0.17445807
WC_0.8_20,18.79227027,3.276472605,19.07576197,14.48550776,2.377433375,14.6793094,0.0081,0.173292164
WC_1.0_1,22.72107122,3.786778934,23.03446922,15.87646205,1.570386928,15.95393877,0.0078,0.164876233
WC_1.0_2,22.51770779,3.502445903,22.78846839,16.8995024,1.88749133,17.00458188,0.0075,0.171134795
WC_1.0_3,19.81729486,3.073016636,20.05414189,16.6111013,1.74851213,16.70287343,0.0085,0.165763556
WC_1.0_4,21.31149759,3.636039123,21.61945212,16.64528335,2.343464607,16.80944033,0.0069,0.18289661
WC_1.0_5,20.71981088,3.996442633,21.10170885,16.09150569,2.798486225,16.33303647,0.0075,0.175223484
WC_1.0_6,16.38658147,4.263766241,16.93221057,14.58368522,2.509950998,14.79809882,0.0073,0.188018498
WC_1.0_8,18.24823294,3.252248713,18.53577965,14.67968159,1.614983762,14.76825054,0.0082,0.176862112
WC_1.0_9,18.00116401,4.054432589,18.45210908,13.17965616,2.719671958,13.45733822,0.0081,0.178868778
WC_1.0_10,18.30007217,4.167455058,18.76859939,15.28487542,1.920413486,15.40504477,0.0083,0.172773563
WC_1.0_11,14.61678876,3.192745669,14.96142168,11.23455428,1.655959668,11.35594172,0.0084,0.186255375
WC_1.0_12,14.28450165,3.079801866,14.61273988,12.46602325,1.59520585,12.56767351,0.0076,0.187407046
WC_1.0_13,14.43840356,3.193173718,14.78728696,11.59131905,2.113037484,11.78234292,0.0083,0.186569795
WC_1.0_14,14.15928195,2.429467517,14.36619566,12.05915118,2.040047741,12.23049148,0.0084,0.185128596
WC_1.0_15,14.09551534,3.789802657,14.59610074,11.96762213,1.735154955,12.09275577,0.0084,0.186694826
WC_1.0_16,10.68953477,2.160338825,10.90565071,9.156536295,2.301647482,9.44138433,0.0114,0.182108294
WC_1.0_17,10.41827439,2.404454629,10.69213933,8.726276944,1.38018173,8.83475019,0.0103,0.189611505
WC_1.0_18,10.52924428,3.015947213,10.95266738,9.368685502,2.427469708,9.678061646,0.009,0.19066342
WC_1.0_19,10.93021766,2.868591224,11.30037494,9.362219702,1.343396437,9.458111425,0.0075,0.196411888
WC_1.0_20,10.65672661,2.869178292,11.0362134,8.71651553,1.679780293,8.876897252,0.0082,0.196536213
